category,created_at,description,list_price,net_price,product_id,quantity_available,store_id,title,vendor_id
Computers & Tablets,2023-07-26T12:01:49.227Z,"[""System: Intel Core i7-12700F 2.1GHz 8+4 Cores | Intel B660 Chipset | 16GB DDR4 | 1TB PCIe NVMe SSD | Genuine Windows 11 Home 64-bit"", ""Graphics: NVIDIA GeForce RTX 3060 12GB Video Card | 1x HDMI | 2x DisplayPort"", ""Connectivity: 6 x USB 3.1 | 2 x USB 2.0 | 1x RJ-45 Network Ethernet 10/100/1000 | 802.11AC Wi-Fi | Audio: 7.1 Channel | Keyboard and mouse"", ""Special feature: Tempered Glass Side Case Panel | Custom RGB Case Lighting | 7 Colors RGB Gaming Mouse"", ""1 year parts & labor | Free lifetime tech support""]",1198.689700,750,1145,26,199,"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black",463
Computers & Tablets,2023-07-26T12:01:49.686Z,"[""Powerful Productivity: 11th Generation Intel Core i3-1115G4 Dual Core processor delivers unmatched speed and intelligence, enabling impressive creating, productivity, and gaming experiences. With Turbo Boost Technology, get up to 4.1GHz for your high-demand applications. Connectivity Technology: Wi-Fi, Bluetooth, HDMI"", ""Visibly Stunning: Experience sharp details and crisp colors on the 15.6\"" Full HD IPS display with 82.58% screen-to-body, 16:9 aspect ratio and narrow bezels."", ""Ergonomic Typing: Ergonomically designed hinge lifts the keyboard for comfortable typing, improved cooling, and a better sound experience."", ""Internal Specifications: 8GB DDR4 on-board memory (1 slot available); 128GB NVMe solid-state drive storage (1 hard drive bay available) to store your files and media"", ""Acer's Purified.Voice technology, features enhanced digital signal processing to cancel out background noise, improve speech accuracy and far-field pickup, which not only makes calls clearer, but makes talking to Alexa easier than before."", ""Using Alexa on your PC is as easy as asking a question. Just ask and Alexa can check your calendar, create lists, play music, answer questions, read the news and more."", ""Secure Operating System: Windows 11 Home in S mode comes with advanced security features built right in, like protections against phishing and malicious software so you don't have to think twice when navigating to a new webpage or downloading an app.""]",225640.153400,224992.500000,1146,41,199,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",463
Computers & Tablets,2023-07-26T12:01:55.027Z,"[""INTEL Core i7 12700F 2.1GHz (4.9GHz Max Boost) CPU Processor | 1TB NVME SSD – Up to 30x Faster Than Traditional HDD | 360mm AIO"", ""NVIDIA Geforce RTX 4070 Ti 12GB GDDR6X Graphics Card (Brand may vary) | 16GB DDR4 RAM 3200 Gaming Memory with Heat Spreader | Windows 11 Home 64-bit"", ""802.11 AC | No Bloatware | Graphic output options include 1 x HDMI, and 1 x Display Port Guaranteed, Additional Ports may vary | USB Ports Including 2.0, 3.0, and 3.2 Gen1 Ports | HD Audio and Mic | Free Gaming Keyboard and Mouse"", ""4 x RGB RING Fans for Maximum Air Flow | Skytech Azure Gaming Case with Tempered Glass, Black | 1 Year Warranty on Parts and Labor | Lifetime Free Technical Support | Assembled in the USA"", ""This powerful gaming PC is capable of running all your favorite games such as Call of Duty Warzone, Fornite, Escape from Tarkov, Grand Theft Auto V, Valorant, World of Warcraft, League of Legends, Apex Legends, Roblox, PLAYERUNKNOWN's Battlegrounds, Overwatch, Counter-Strike: Global Offensive, Battlefield V, New World, Minecraft, Elden Ring, Rocket League, The Division 2, and more at Ultra settings, detailed 4K Ultra HD resolution, and smooth 60+ FPS gameplay.""]",1316.903400,750,1156,9,199,"Skytech Azure Gaming PC Desktop – Intel Core i7 12700F 2.1 GHz, NVIDIA RTX 4070 Ti, 1TB NVME SSD, 16GB DDR4 RAM 3200, 750W Gold PSU, 360mm AIO, 11AC Wi-Fi, Windows 11 Home 64-bit",463
Computers & Tablets,2023-07-26T12:01:41.646Z,"[""【Handle It All with Ease】Built using latest technology, the Unisoc T610 8-core chip provides a 10% increase in CPU performance and 10% increase in GPU performance over previous generations. Experience a boost of efficiency. It offers higher processing speeds while using less power. The Android 11.0 OS is optimized for how you use your tablet. Giving you an easier ways to manage conversations, privacy settings and so much more."", ""【Edit Photos，Stylize Life】The 8 MP HD Front Camera is a great selfie Assistant. Zoom in, crop, and edit to create special photos. The rear 13MP camera system comes with intelligent image processing algorithms, allowing you to record memorable views of your life. Enjoy your favorite content and games with great audio visual immersion thanks to a dual speaker audio system on the tablet."", ""【Stare all you want Get】 Ready for unforgettable visual adventures on this 10 Inch HD 1280 *800 fullscreen with an impressive 87% screen-to-body ratio. A 390Hz touch sampling rate enables more sensitive touch control and more instant responses, bringing you a better using experience. Experience brilliant, vivid colors with the IPS full display. This android tablet features a reading mode，which can reduce eye fatigue and make you read more easily."", ""【More Memory, Longer Lifespan】 Want to store more films, photos and music on your tablet? A maximum of 128GB ROM enables you to run many apps at the same time and switch between them smoothly. It does support expandable storage of up to 1TB and 4GB RAM storage, making you feel at ease on storage. Feel free to download your favorite apps, such as SKYGO, NetFlix, YouTube, TikTok, Instergarm and more."", ""【Long Battery Life】With the massive 7000mAh battery, you can enjoy longer battery life all day long. Say goodbye to low-battery anxiety.You can read or watch videos on your tablet for more than 10 hours to enrich your spare time. 5GHz band enables a dual-band WiFi tablet to give the user a better experience than a single band (2.4 GHz) WiFi tablet. This 2-in-1 tablet supports 2.4G and 5G WIFI."", ""【Best Gift Ideas For All Occasions】This tablet is easy to use with no complicated operation steps. The clear and wide screen is easy to view and perfect for the elderly and children. Finish ticking off your gifts list for Christmas or Valentine's Day with this 10 inch tablet. If you have any questions about tablet, please contact our customer service."", ""【What's in the package？】Tablet, Tablet Cases, Bluetooth Keyboard, Wireless Mouse, Charger + Data Cable, Touch Pen, Instruction Booklet, Card Pin, OTG. This product includes all the above accessories.""]",135336.653000,134992.500000,1130,34,199,"Tablet Android 2023 10 Inch Tablet, 2-In-1 Octa-Core Tablet with 128GB + 1TB Expansion + 4GB, Keyboard, 13+8MP Dual Camera, 5G WIFI, HD Touch Screen Tablet with Stylus, Mouse, Bluetooth, GPS, Case",463
Computers & Tablets,2023-07-26T12:01:42.125Z,"[""🎥This powerful tablet features a large 10 inch tablet display with high-resolution 1280*800 screen and Capacitive 5 points touch technology for smooth. The 6000mAh battery ensures long-lasting power for all your daily activities, from browsing the internet to streaming videos and playing games. With its sleek design and advanced features, the Kinstone gaming tablet is perfect for anyone who wants a high-performance device that can keep up with their busy lifestyle. 💪"", ""📚Boost your productivity and education with the Kinstone Android Tablet. Equipped with a powerful MTK8183 octa-core processor and 6GB DDR4 RAM, the Kinstone computer tablets delivers lightning-fast performance. The 128GB Flash ROM provides ample storage space, and with SDHC/SDXC support, you can expand storage up to 1TB. With dual cameras and Gaming Tablet, this tablets is perfect for video conferencing and remote learning. Get yours now! 🚀"", ""🔋Experience style and convenience with the Kinstone Tablet Android. This slim and sleek tablets is perfect for anyone on-the-go. Stay connected with AC WIFI 802.11 b/g/n/ac 2.4GHz + 5GHz (dual-band WIFI) and Bluetooth 5.0 support. The USB and Type-C ports make it easy to charge and transfer files. Take it with you anywhere and stay connected, whether you're at home, work, tablets shopping or traveling.📷"", ""🎮Experience immersive gaming like never before with the Kinstone Android Tablet. Equipped with an Arm Mali G72 graphics processor, this tablet delivers stunning visuals and smooth performance for all your favorite games. With support for multiple video and audio formats, you can enjoy your games, music, and videos in crystal-clear clarity. The windows tablet and 2 BOX speakers provide a truly immersive gaming experience, making the Kinstone tablet the perfect choice for serious gamers.💻"", ""📱Boost your productivity with the versatile Kinstone Android Tablet. With support for tablet keyboard and pens, the Kinstone tablet lets you easily switch between laptop and tablet modes to suit your needs. Compatible with Windows, Android, and Remarkable 2 tablet, the Kinstone tablet lets you work and create the way you want. Whether you're typing up reports, browsing the web,trade in program or editing photos, the Kinstone tablet is perfect for all your needs.🎨""]",128744.833400,128242.500000,1131,44,199,"kinstone 🅺🅸🅽🆂🆃🅽🅴 Tablet 10 Inch Android Tablets,8GB RAM DDR4 256GB ROM 1TB Expand,Gray,6000mah Battery,Octa-Core 2.0Ghz,MTK 8183,WiFi 10.1''IPS HD Touch Screen BT 5.0 Android 12.",463
Computers & Tablets,2023-07-26T12:01:42.672Z,"[""♥【Powerful Performance Android Tablet】Our 10-inch tablet is equipped with a stable Android 11.0 system and a 1.8GHz octa-core CPU. It supports G-sensor, Bluetooth, OTG, and FM. The Android tablet has passed GMS certification, allowing you to have full access to the latest Google services, such as Google Play, WhatsApp, G-mail, Skype, Disney+, Netflix, YouTube, Google Assistant, and more exciting applications."", ""♥【10.1-inch HD Screen Tablet】Stunning 10-inch eye-care full-screen display with 1280*800 IPS high-definition touch screen. The larger visible area and wider field of view bring immersive visual enjoyment whether you're playing games, watching movies, reading books, or taking notes. The G+G glass screen is highly transparent and scratch-resistant, making your tablet more durable."", ""♥【HD Camera & Dual Speakers with Wide Sound Range】The 10-inch tablet is equipped with an 8MP rear camera with autofocus and flash, ensuring clear photos both in daylight and at night. The 2MP front camera provides excellent clarity during video calls. The dual speakers deliver a 3D surround effect, bringing a clear, full, and delicate audio experience. Intelligent switching of audio effects in various scenes such as music, movies, games, and calls allows you to immerse yourself in entertainment."", ""♥【64GB ROM with Expandable Memory】This tablet comes with 64 GB of internal storage and a microSD card slot, allowing you to add up to an additional 128GB of storage space to carry all your favorite media, such as e-books, songs, videos, photos, and music. There's also plenty of room for you to download the apps you need."", ""♥【6000mAh Long Life Battery 】Our Android tablet is equipped with a 6000mAh battery that lasts up to 12 hours on a single charge, making it perfect for long commutes, travel, reading, watching movies, dramas, listening to music, and more. Can be easily charged via 5V2A Type-C port""]",57186.039700,56737.500000,1132,44,199,"10 inch Android 11 Tablet,RAM 4GB ROM 64 GB with 128GB Expand, Octa Core Tablet,Google Certificated Tablet with IPS HD Touch Screen, 8MP Camera, 2.4G WiFi, BT, Long Battery Life(with Leather Case)",463
Computers & Tablets,2023-07-26T12:01:48.746Z,"[""Pocketable Entertainment: Tap into on-the-go fun for you or your kids with a slim-and-light 8-inch HD display and powerful dual speakers. Get one Tab M8 (4th gen) for each member of the household."", ""All Day Fun: Pack full power to sustain an entire day for kids to learn and grow on day and road trips with up to 16 hours of streaming on the 5100 mAh battery"", ""Safer Screen Time: The Lenovo Tab M8 (4th Gen) is TÜV Eye Care Certified. It protects sensitive eyes by reducing harmful blue light emissions. Turn on Reading Mode for a more realistic and immersive reading experience that lets you read for longer"", ""Greater Peace of Mind: Safeguard yourself and your family with a privacy dashboard that lets you manage your privacy permission accesses. Know when your camera and microphone is on through the camera and microphone indicator for greater peace of mind."", ""Help Your Family Create Better Digital Habits: With parental controls in the Family Link app from Google, you can guide your child’s experience by managing content, setting screen time limits, and more, all from your own device.""]",7575.888400,7492.500000,1144,1,199,"Lenovo Tab M8 (4th Gen) - 2023 - Tablet - Long Battery Life - 8"" HD - Front 2MP & Rear 5MP Camera - 2GB Memory - 32GB Storage - Android 12 (Go Edition) or Later",463
Computers & Tablets,2023-07-26T12:01:36.285Z,"[""【5G WiFi & 8000mAh High Capacity Battery】 This Android Tablet has a 5G WiFi module, which means it can connect to the internet faster than most other tablet with older WiFi modules. This feature allows for faster download and upload speeds, which is great for streaming movies, playing online games, and working remotely. The Tablet has an 8000 mAh battery, which is a high capacity battery that can last for a long time. This feature is ideal for people who frequently go on long trips and want to stay connected to the internet without having to worry about their tablet's battery dying quickly"", ""【6GB RAM 64GB ROM & Excellent Processor】 The Android 12 Tablet is equipped with an 1.8GHz excellent processor, 6GB(4GB+2GB) RAM and 64GB ROM, which means it can run apps and games quickly and smoothly without any lag. This feature is ideal for people who like to play games, run multiple apps at once, or use android tablet for work"", ""【10.1\"" FHD IPS Screen & Dual Camera】 The 10.1 inch tablet has an G+G FHD IPS screen, which means it can display high-quality images and videos with great clarity and color accuracy. This feature is ideal for people who like to watch movies, play games, or work on a tablet for extended periods of time. Dual camera (8MP Rear, 5MP Front) with auto focus function, you can take beautiful photos or make smooth video conversations"", ""【1TB Huge Capacity Storage & Google GMS Certification】 This Tablets is equipped with 64GB ROM Built-in memory, supports 1TB (1024GB) capacity expansion, includes a micro SD slot, lightweight but excellent, allows you to download a large number of applications from Google Play Store and have fun with them. The android tablet has passed the Google GMS certification. You have full access to the latest Google service, such as Google Play, WhatsApp, G-mail, Skype, Disney+, Netflix, YouTube, ZOOM, Google Assistant and more brilliant apps"", ""【5-year Warranty】 Our 10 inch tablet offers a 5-year warranty and Lifetime customer service, If you have any questions, please contact us, our customer service manager will reply you within 24 hours. Package Includes：1 x Tablet PC, 1 x High-quality Tablet Case, 1 x Screen Protector, 1 x OTG Cable, 1 x Charging Cable, 1 x User Manual""]",68442.781200,67485,1119,23,199,"Android Tablet, 10.1 Inch Android 12 Tablet, 6GB RAM 64GB ROM, 1TB Expand, Android Tablet with 8000mAh Battery, Dual Camera, 5G WiFi, Bluetooth, FHD IPS Touch Screen, GPS, Google GMS Certified",463
Computers & Tablets,2023-07-26T12:01:36.787Z,"[""【High Performance & 6GB+128GB Storage】 BYANDBY Android 11 Tablet has a built-in 6GB running memory，enjoy smooth multitasking and switching. between applications. 64GB storage capacity, includes a micro SD card slot,(MicroSD can be expanded to 512GB), allows you to store all your files,meet your daily entertainment and work needs."", ""【2MP Front & 8MP Rear Cameras】The tablet is equipped with 2MP front and 8MP rear cameras that meet the basic needs of video speaking and photography. The 10.1 inch large screen enables less scrolling up and down when reading. With 800*1280 screen resolution, perfect for watching HD movies and reading eBooks."", ""【Large Capacity Battery 】Equipped with a 6000mAh large capacity battery, your entertainment will last up to 6-8 hours, you can use this tablet wherever work or traveling. Android 10.1 tablet can be carried on the subway, bus, travel, etc."", ""【5G Wi-Fi 6 】Ideal for Business Users: With GMS certification for Google apps and services, and 5G Wi-Fi and Wi-Fi 6 connectivity, our tablet is perfect for business users who need a reliable and secure device that can keep up with their busy schedules and stay connected wherever they go."", ""【Ideal Choice For Gift 】 This tablet has excellent performance, stylish appearance, and elegant packaging, making it the perfect choice for Christmas, Valentine's Day, birthday, and bar mitzvahs. this android 10.1 inch tablet have 12 months’ guarantee policy, if the product is found to be defective, we promise 100% satisfactory solution for you.""]",59348.123000,58492.500000,1120,23,199,"10 inch Tablets, Android 11.0 Tablets, 6GB+128GB, 512GB Expand, Quad-Core, Dual Camera, HD Touch Screen, BT, Wi-Fi 6, Google GMS",463
Computers & Tablets,2023-07-26T12:01:37.270Z,"[""♥【Powerful Performance Android Tablet】Our 10-inch tablet is equipped with a stable Android 11.0 system and a 1.8GHz octa-core CPU. It supports G-sensor, Bluetooth, OTG, and FM. The Android tablet has passed GMS certification, allowing you to have full access to the latest Google services, such as Google Play, WhatsApp, G-mail, Skype, Disney+, Netflix, YouTube, Google Assistant, and more exciting applications."", ""♥【10.1-inch HD Screen Tablet】Stunning 10-inch eye-care full-screen display with 1280*800 IPS high-definition touch screen. The larger visible area and wider field of view bring immersive visual enjoyment whether you're playing games, watching movies, reading books, or taking notes. The G+G glass screen is highly transparent and scratch-resistant, making your tablet more durable."", ""♥【HD Camera & Dual Speakers with Wide Sound Range】The 10-inch tablet is equipped with an 8MP rear camera with autofocus and flash, ensuring clear photos both in daylight and at night. The 2MP front camera provides excellent clarity during video calls. The dual speakers deliver a 3D surround effect, bringing a clear, full, and delicate audio experience. Intelligent switching of audio effects in various scenes such as music, movies, games, and calls allows you to immerse yourself in entertainment."", ""♥【64GB ROM with Expandable Memory】This tablet comes with 64 GB of internal storage and a microSD card slot, allowing you to add up to an additional 128GB of storage space to carry all your favorite media, such as e-books, songs, videos, photos, and music. There's also plenty of room for you to download the apps you need."", ""♥【6000mAh Long Life Battery 】Our Android tablet is equipped with a 6000mAh battery that lasts up to 12 hours on a single charge, making it perfect for long commutes, travel, reading, watching movies, dramas, listening to music, and more. Can be easily charged via 5V2A Type-C port""]",56847.887100,56737.500000,1121,17,199,"10 inch Android 11 Tablet,RAM 4GB ROM 64 GB with 128GB Expand, Octa Core Tablet,Google Certificated Tablet with IPS HD Touch Screen, 8MP Camera, 2.4G WiFi, BT, Long Battery Life(with Leather Case)",463
